participant,date,n_fixes,coverage_h,total_distance_km_raw,total_distance_km_filtered,mean_speed_kmh_weighted,time_at_home_h,radius_of_gyration_m,screen_on_h,n_screen_sessions,n_power_events,n_powerdowns,session_max_s,session_min_s,session_mean_s,session_std_s,nocturnal_screen_ons,reported_home_h
ubrmuu2r,2022-03-27,12882.0,4.186769722222222,34.38026732489608,24.58129279505531,5.8711833766697445,4.106258333333333,37.314048430743554,3.9434922222222224,60.0,120.0,0.0,2718.732,1.597,236.60953333333333,458.3419357474218,1.0,17.0
ubrmuu2r,2022-03-28,7455.0,3.701446111111111,33.115159198964925,18.383507659041793,4.966574443393254,1.731046111111111,815.3524771659278,4.441838055555555,112.0,225.0,0.0,3585.392,1.569,142.77336607142857,387.6437575257528,5.0,22.0
xwyd72l9,2022-03-20,76641.0,0.28597361111111114,163.77142588164907,0.15975185671874667,0.5586244692230615,0.32094500000000004,1.2961980541207379,0.2254769444444445,11.0,22.0,0.0,333.675,3.437,73.79245454545456,107.95108495921997,0.0,
xwyd72l9,2022-03-21,179530.0,2.1178902777777777,1938.6623655858011,6.861673042452638,3.239862383075073,1.3991227777777777,147.69237942104422,2.4031438888888887,96.0,193.0,0.0,1550.717,1.6909999999999998,90.11789583333332,187.8275066914478,0.0,18.0
xwyd72l9,2022-03-22,246819.0,2.090123333333333,173.0899870672314,15.30517258144242,7.322616965877176,1.7947702777777779,93.20918764735853,2.687269722222222,106.0,213.0,0.0,765.918,0.915,91.2657641509434,156.94223848298012,1.0,16.0
xwyd72l9,2022-03-23,127352.0,2.1947083333333333,1926.4057257524817,7.178949506175568,3.2710266768214007,1.2274916666666664,168.89735790014666,1.7253997222222222,81.0,163.0,0.0,423.773,2.195,76.68443209876543,95.43235430934027,0.0,19.0
xwyd72l9,2022-03-24,63032.0,2.0601013888888886,109.23943852519858,4.337393846333906,2.1054273686370695,2.085367222222222,3.4234361895221332,2.3476597222222217,92.0,185.0,0.0,702.101,1.451,91.8649456521739,111.45149533803898,0.0,14.0
xwyd72l9,2022-03-25,7420.0,2.293756388888889,15.54185906492779,8.509804097917023,3.7099860033694467,1.2040075,506.6056061301376,3.064241111111111,131.0,262.0,0.0,1080.835,1.189,84.20815267175573,130.9004741051221,1.0,24.0
xwyd72l9,2022-03-26,6857.0,2.195156388888889,203.4578989270125,26.17569745698127,11.924297325454106,1.5567477777777776,29398.873305418267,3.3069575,143.0,286.0,0.0,2135.201,1.208,83.25207692307693,224.3922005900897,3.0,
xwyd72l9,2022-03-27,6649.0,2.263556388888889,132.37689235868316,13.211953401812,5.836812136276113,1.9223286111111113,4373.865579783995,4.458766388888889,108.0,216.0,0.0,1563.921,1.9489999999999998,148.62554629629628,270.2356682815525,0.0,16.0
xwyd72l9,2022-03-28,5992.0,1.9921197222222222,12.878470373132048,8.080533328813313,4.056248848236605,1.0732497222222221,503.8000561596672,2.027670833333334,105.0,210.0,0.0,838.709,1.599,69.52014285714287,128.447207818668,1.0,21.0
zg5uqa5l,2022-03-21,1512.0,1.3268988888888886,1.432223626658595,1.2897970210290224,0.9720386623498233,1.327166111111111,6.401348305965498,0.5408591666666667,3.0,7.0,0.0,1077.437,9.204,649.031,564.6278110428143,0.0,
zg5uqa5l,2022-03-22,7675.0,6.291677222222222,18.62800236509394,7.266067991294236,1.1548697961857393,6.227630277777777,792.4111397423782,2.219762222222222,20.0,43.0,0.0,1975.001,4.361,399.5572,484.4344306562253,4.0,23.0
zg5uqa5l,2022-03-23,7017.0,5.481335277777778,8.493695298606974,6.586223733657498,1.2015728649840336,5.45471361111111,77.46382465181185,2.7486466666666662,21.0,44.0,0.0,2637.776,3.414,471.19657142857136,706.5619507477438,1.0,23.0
zg5uqa5l,2022-03-24,5025.0,3.1012902777777778,23.628403823013823,5.956934999518926,1.9207924657047433,3.0215463888888885,852.652059497184,0.9300975,12.0,26.0,0.0,948.148,9.209,279.02925,367.0719926383342,1.0,23.0
zg5uqa5l,2022-03-25,6347.0,4.897583055555556,26.408903360271214,6.432720841293826,1.3134480351480498,4.782988888888889,960.6670661005656,2.0336708333333333,20.0,41.0,0.0,1781.555,4.084,366.06075,448.59405981763854,4.0,
zg5uqa5l,2022-03-26,5481.0,3.4819905555555555,7.4314644064824185,4.990061681740351,1.433106035792846,3.4822683333333337,11.953456629596989,2.157976666666667,11.0,30.0,0.0,3417.319,5.409,706.2469090909091,983.7442773796913,1.0,23.0
zg5uqa5l,2022-03-27,5715.0,3.977296388888889,12.012806896559752,5.720740659537713,1.4383490945053452,3.925548055555556,46.464938209957914,4.352958055555556,24.0,51.0,0.0,3306.833,4.498,652.9437083333333,945.6182463590538,2.0,
zg5uqa5l,2022-03-28,6188.0,5.506146388888889,20.435446622251423,5.402393035172887,0.9811568116086832,5.450960555555556,482.4355330808675,2.6128883333333333,17.0,37.0,0.0,2769.118,2.2,553.3175294117647,724.0732218837676,4.0,21.0
